Оффер;IP;Група кампанії;Sub ID 18
TR MelBet CGS;88.230.177.226;Maryana;crro6gc8
PL VulkanSpiele CGS;37.47.178.162;Maryana;dp6eycp2
TR 21 ст RexBet;78.190.96.246;Bodya;obb4d5us
TR Luks Casino Monkey;149.140.129.207;MaksZek;jlopumlk
KLO 2 TEST;66.220.149.116;Maryana;2ayvd2s1
TR 21 ст RexBet;46.197.146.81;MishaR;jfsa40q9
PL  SpinCity  Monkey;37.47.178.162;Maryana;dp6eycp2
TR MelBet CGS;5.176.133.250;Dasha;y718kipk
PL VulkanSpiele CGS;5.173.227.27;Dasha;z522bbyp
TR 21 ст RexBet;159.146.86.105;MishaR;6nif7ca5
PL VulkanSpiele CGS;185.251.84.15;Dasha;47yvwc2d
TR MelBet CGS;151.135.222.38;MaksZek;dg2f8vre
PL Coolzino Vortex;188.33.242.130;Dasha;g5z4ogsh
TR Luks Casino Monkey;5.176.133.250;Dasha;y718kipk
PL Coolzino Vortex;37.248.222.1;Dasha;dvjeuxal
TR MelBet CGS;159.146.86.105;MishaR;6nif7ca5
PL Vpartners Verde;185.48.128.217;VitaKis;hssazpdc
TR BizBet Cpagetti;5.46.218.186;Denys;swf3numd
TR Luks Casino Monkey;159.146.86.105;MishaR;6nif7ca5
TR 21 ст RexBet;178.243.210.105;Liubomyr;wcgomlxh
TR MelBet CGS;173.252.95.28;MaksZek;dg2f8vre
TR MelBet CGS;173.252.95.37;MaksZek;dg2f8vre
PL Coolzino Vortex;80.238.81.24;Dasha;l619babj
TR 21 ст RexBet;5.176.133.250;Dasha;y718kipk
TR 21 ст RexBet;88.226.1.170;MishaR;s8joqigi
TR Luks Casino Monkey;176.88.125.3;Marta;6ajtk0zx
TR Luks Casino Monkey;141.196.45.218;Dasha;j7z9ur4y
TR MelBet CGS;46.104.1.241;Misha;3j04n39d
TR Luks Casino Monkey;95.5.115.105;MishaR;2isyvv52
TR 21 ст RexBet;178.240.66.84;MaksZek;p2yrxo3a
TR Luks Casino Monkey;151.135.221.56;L1ubek;bmyafd2w
TR 21 ст RexBet;151.135.11.146;Misha;fs5woccv
TR Luks Casino Monkey;88.241.44.176;Maryana;ww6qgo1x
PL Coolzino Vortex;31.61.188.189;MaksZek;rg1qi2kf
TR 21 ст RexBet;46.154.201.187;MishaR;wcidj18f
PL VulkanSpiele CGS;37.248.222.1;Dasha;dvjeuxal
PL Coolzino Vortex;91.232.46.33;Dasha;tmxujk1b
TR MelBet CGS;78.190.133.22;Misha;3j04n39d
TR 21 ст RexBet;178.243.93.127;MaksZek;rp4206b6
TR MelBet CGS;5.177.135.156;Maryana;2ayvd2s1
TR 21 ст RexBet;178.240.89.228;Marta;uwsetvz7
TR Luks Casino Monkey;88.230.177.226;Maryana;crro6gc8
PL Vpartners Verde;31.182.165.90;L1ubek;0xtq1xr8
TR MelBet CGS;5.47.251.44;Maryana;ww6qgo1x
TR 21 ст RexBet;46.2.168.166;Dasha;45ram0ql
PL Coolzino Vortex;31.61.178.6;Dasha;wudl5q42
TR 21 ст RexBet;141.196.45.218;Dasha;j7z9ur4y
TR MelBet CGS;46.2.168.166;Dasha;45ram0ql
TR MelBet CGS;95.70.129.239;Liubomyr;175z7jlz
TR MelBet CGS;78.163.113.93;Dasha;j7z9ur4y
KLO 2 TEST;149.154.161.204;Dasha;j7z9ur4y
TR MelBet CGS;212.68.60.152;Dasha;bcdzpo3s
TR MelBet CGS;141.196.45.218;Dasha;j7z9ur4y
TR 21 ст RexBet;5.229.81.80;MishaR;f3ablhaz
PL Coolzino Vortex;5.173.248.243;Dasha;3j6u6ygt
TR MelBet CGS;104.28.154.238;MaksZek;gefmxqtd
KLO 2 TEST;173.252.87.116;Liubomyr;175z7jlz
PL Vpartners Ice;94.254.219.2;L1ubek;v99dyiks
TR Luks Casino Monkey;46.154.201.187;MishaR;wcidj18f
PL Coolzino Vortex;31.61.188.69;Dasha;d7h12wlw
TR MelBet CGS;176.89.207.57;Dasha;j7z9ur4y
PL  SpinCity  Monkey;188.33.224.67;L1ubek;lqyhep49
TR Luks Casino Monkey;88.230.229.45;MaksZek;cohc56dv
TR MelBet CGS;188.57.51.36;Dasha;j7z9ur4y
TR MelBet CGS;69.171.231.1;MaksZek;gefmxqtd
PL VulkanSpiele CGS;31.0.57.35;Kris;740sdumg
TR 21 ст RexBet;95.70.129.239;Liubomyr;175z7jlz
KLO 2 TEST;173.252.107.3;Liubomyr;175z7jlz
TR 21 ст RexBet;176.216.223.56;Dasha;res1rx41
PL Coolzino Vortex;188.33.224.67;L1ubek;lqyhep49
KLO 2 TEST;66.220.149.19;MaksZek;cohc56dv
TR Luks Casino Monkey;95.70.129.239;Liubomyr;175z7jlz
TR 7 slots Monkey;95.5.115.105;MishaR;yyhez65d
KLO 2 TEST;31.13.103.7;Liubomyr;175z7jlz
PL VulkanSpiele CGS;188.33.224.67;L1ubek;lqyhep49
KLO 2 TEST;173.252.127.9;Liubomyr;175z7jlz
TR MelBet CGS;77.111.244.51;Dasha;10rhq0bc
TR MelBet CGS;176.89.33.11;Dasha;10rhq0bc
TR Luks Casino Monkey;78.190.129.67;Liubomyr;wcgomlxh
TR 21 ст RexBet;46.154.202.218;Liubomyr;xpxqwx5j
PL VulkanSpiele CGS;31.0.94.202;MaksZek;e4k55u7q
TR 21 ст RexBet;176.89.33.11;Dasha;10rhq0bc
TR 21 ст RexBet;185.202.240.85;MishaR;tr1ta0vz
TR MelBet CGS;185.202.240.85;MishaR;tr1ta0vz
TR MelBet CGS;88.236.174.189;Marta;ecctvibh
KLO 2 TEST;66.220.149.112;MaksZek;cohc56dv
TR BizBet Cpagetti;88.236.174.189;Marta;ecctvibh
TR MelBet CGS;178.243.208.136;Liubomyr;i4kzqbzy
PL Vpartners Verde;185.251.84.15;Dasha;47yvwc2d
PL VulkanSpiele CGS;188.146.153.128;Maryana;b2yq8scj
KLO 2 TEST;31.13.127.15;Maryana;2ayvd2s1
PL Vpartners Ice;188.33.224.67;L1ubek;lqyhep49
TR Luks Casino Monkey;37.154.101.198;L1ubek;vbkovwni
TR MelBet CGS;176.89.67.183;Dasha;
TR MelBet CGS;176.89.67.183;Dasha;bcdzpo3s
TR MelBet CGS;31.223.83.89;Marta;u4yljbj4
KLO 2 TEST;66.220.149.5;Marta;u4yljbj4
KLO 2 TEST;31.13.127.17;Maryana;2ayvd2s1
TR 21 ст RexBet;88.241.45.121;Maryana;2ayvd2s1
KLO 2 TEST;173.252.79.113;Maryana;2ayvd2s1
KLO 2 TEST;173.252.95.31;MaksZek;dg2f8vre
TR MelBet CGS;50.3.76.34;Liubomyr;i4kzqbzy
KLO 2 TEST;173.252.87.1;Marta;u4yljbj4
TR Luks Casino Monkey;31.223.83.89;Marta;u4yljbj4
KLO 2 TEST;173.252.95.38;Marta;u4yljbj4
KLO 2 TEST;69.171.251.112;Liubomyr;xpxqwx5j
TR 21 ст RexBet;37.154.101.198;L1ubek;vbkovwni
TR MelBet CGS;95.70.129.239;Liubomyr;i4kzqbzy
TR Basari VortexAds;37.154.101.198;L1ubek;vbkovwni
TR BizBet Cpagetti;37.154.101.198;L1ubek;vbkovwni
TR Luks Casino Monkey;176.219.172.213;Misha;tntt0awx
PL Coolzino Vortex;91.218.202.86;MaksZek;213n2uo9
TR Luks Casino Monkey;176.54.241.35;Denys;zw9n2cie
TR MelBet CGS;37.154.101.198;L1ubek;vbkovwni
TR MelBet CGS;88.230.229.45;MaksZek;cohc56dv
TR MelBet CGS;5.46.202.41;Liubomyr;i4kzqbzy
TR MelBet CGS;151.135.11.146;Misha;fs5woccv
PL Coolzino Vortex;79.185.165.16;MaksZek;e4k55u7q
TR MelBet CGS;149.140.129.207;MaksZek;jlopumlk
TR MelBet CGS;95.12.115.25;Maryana;j8il7q08
TR Luks Casino Monkey;176.89.33.11;Dasha;10rhq0bc
TR MelBet CGS;149.140.35.121;Liubomyr;n7hndsh4
TR 21 ст RexBet;178.240.134.70;Dasha;t2s2sp3g
TR MelBet CGS;188.125.161.34;Dasha;ooaehhja
TR Luks Casino Monkey;95.12.115.25;Maryana;j8il7q08
TR MelBet CGS;78.165.0.26;MishaR;6w4zmfm3
TR BizBet Cpagetti;188.57.15.194;Marta;ecctvibh
TR 21 ст RexBet;95.12.115.25;Maryana;j8il7q08
TR Luks Casino Monkey;88.236.173.176;Dasha;m82h0kjk
TR MelBet CGS;176.237.61.206;Liubomyr;i4kzqbzy
TR Luks Casino Monkey;78.165.0.26;MishaR;6w4zmfm3
TR 21 ст RexBet;178.243.240.112;Maryana;za1slkl7
TR 21 ст RexBet;31.223.83.89;Marta;u4yljbj4
TR MelBet CGS;5.229.32.48;Dasha;54fu9de9
KLO 2 TEST;173.252.79.6;Liubomyr;i4kzqbzy
TR 21 ст RexBet;78.165.0.26;MishaR;6w4zmfm3
TR Luks Casino Monkey;88.252.217.245;MaksZek;ceno4jlz
TR 21 ст RexBet;5.229.32.48;Dasha;54fu9de9
KLO 2 TEST;173.252.83.59;Liubomyr;i4kzqbzy
TR 21 ст RexBet;176.237.61.206;Liubomyr;i4kzqbzy
KLO 2 TEST;66.220.149.34;Liubomyr;i4kzqbzy
TR Luks Casino Monkey;88.236.174.189;Marta;ecctvibh
TR 21 ст RexBet;95.5.115.105;MishaR;2isyvv52
TR Luks Casino Monkey;176.237.61.206;Liubomyr;i4kzqbzy
KLO 2 TEST;66.220.149.28;Liubomyr;i4kzqbzy
KLO 2 TEST;66.220.149.37;Liubomyr;i4kzqbzy
TR Luks Casino Monkey;5.229.32.48;Dasha;54fu9de9
TR MelBet CGS;88.236.173.176;Dasha;m82h0kjk
TR BizBet Cpagetti;176.54.241.35;Denys;zw9n2cie
TR 21 ст RexBet;88.236.173.176;Dasha;m82h0kjk
TR MelBet CGS;88.252.217.245;MaksZek;ceno4jlz
TR BizBet Cpagetti;149.140.208.179;Denys;k70jn6o3
TR 21 ст RexBet;88.252.217.245;MaksZek;ceno4jlz
TR 21 ст RexBet;188.125.161.34;Dasha;ooaehhja
TR MelBet CGS;149.140.208.179;Denys;k70jn6o3
TR Luks Casino Monkey;188.125.161.34;Dasha;ooaehhja
PL VulkanSpiele CGS;37.248.200.25;VitaKis;hssazpdc
TR Luks Casino Monkey;188.57.15.194;Marta;ecctvibh
TR MelBet CGS;5.46.218.186;Denys;swf3numd
TR Luks Casino Monkey;178.243.240.112;Maryana;za1slkl7
TR Luks Casino Monkey;149.140.208.179;Denys;k70jn6o3
TR MelBet CGS;176.54.241.35;Denys;zw9n2cie
PL Coolzino Vortex;188.146.2.84;MaksZek;zqcqci2e
TR 21 ст RexBet;149.140.208.179;Denys;k70jn6o3
TR Luks Casino Monkey;5.229.81.80;MishaR;f3ablhaz
TR MelBet CGS;66.220.149.52;MaksZek;cohc56dv
TR MelBet CGS;66.220.149.15;MaksZek;cohc56dv
TR MelBet CGS;66.220.149.47;MaksZek;cohc56dv
TR 21 ст RexBet;188.57.15.194;Marta;ecctvibh
KLO 2 TEST;69.171.249.11;Liubomyr;oaf23ta8
TR Luks Casino Monkey;78.171.187.2;Liubomyr;oaf23ta8
KLO 2 TEST;173.252.127.11;Liubomyr;d08phciq
TR MelBet CGS;178.243.240.112;Maryana;za1slkl7
TR Luks Casino Monkey;159.146.42.91;Marta;a2hm201f
KLO 2 TEST;173.252.95.37;Marta;a2hm201f
KLO 2 TEST;173.252.127.17;Marta;a2hm201f
KLO 2 TEST;69.171.231.5;MaksZek;cohc56dv
KLO 2 TEST;66.220.149.26;MaksZek;cohc56dv
TR Luks Casino Monkey;149.140.208.179;Ira;2raz80mr
KLO 2 TEST;173.252.127.21;Marta;a2hm201f
TR 21 ст RexBet;46.196.182.46;Ira;ppbikz1d
TR 21 ст RexBet;159.146.42.91;Marta;a2hm201f
KLO 2 TEST;173.252.127.15;Marta;a2hm201f
TR MelBet CGS;46.196.182.46;Ira;ppbikz1d
KLO 2 TEST;69.171.251.14;Ira;zuit48gu
TR MelBet CGS;69.171.249.24;Ira;zuit48gu
TR MelBet CGS;69.171.251.11;Ira;zuit48gu
KLO 2 TEST;173.252.83.37;Ira;zuit48gu
TR 21 ст RexBet;88.243.128.209;Ira;zuit48gu
KLO 2 TEST;69.171.251.22;Ira;zuit48gu
TR MelBet CGS;81.215.239.222;Maryana;wb5csag3
TR Luks Casino Monkey;46.196.182.46;Ira;ppbikz1d
TR Luks Casino Monkey;81.215.239.222;Maryana;wb5csag3
TR MelBet CGS;46.1.231.166;Liubomyr;1tggvndi
KLO 2 TEST;69.171.251.112;Maryana;wb5csag3
KLO 2 TEST;69.171.251.1;Maryana;wb5csag3
KLO 2 TEST;69.171.251.21;Maryana;wb5csag3
KLO 2 TEST;31.13.115.116;Maryana;wb5csag3
TR 21 ст RexBet;81.215.239.222;Maryana;wb5csag3
KLO 2 TEST;69.171.249.8;Maryana;wb5csag3
KLO 2 TEST;69.171.251.18;Maryana;wb5csag3
TR MelBet CGS;88.226.1.170;MishaR;s8joqigi
TR 21 ст RexBet;45.12.25.119;Misha;8karablt
KLO 2 TEST;173.252.107.20;Misha;8karablt
KLO 2 TEST;173.252.127.33;Misha;8karablt
KLO 2 TEST;31.13.127.7;Misha;8karablt
TR BizBet Cpagetti;188.57.65.201;Misha;8karablt
KLO 2 TEST;173.252.87.7;Maryana;iotiixb1
TR MelBet CGS;176.220.44.106;Maryana;iotiixb1
KLO 2 TEST;173.252.95.30;Maryana;iotiixb1
TR MelBet CGS;95.15.185.189;MishaR;jl67swad
PL  SpinCity  Monkey;188.33.234.70;Maryana;s3gky5z5
TR MelBet CGS;188.57.65.201;Misha;8karablt
TR Luks Casino Monkey;88.226.1.170;MishaR;s8joqigi
TR Luks Casino Monkey;95.15.185.189;MishaR;jl67swad
TR 21 ст RexBet;176.54.241.35;Denys;zw9n2cie
TR 21 ст RexBet;213.186.144.131;Dasha;i69vvhuu
TR MelBet CGS;46.2.131.29;Ira;2raz80mr
TR 21 ст RexBet;95.15.185.189;MishaR;jl67swad
KLO 2 TEST;95.15.185.189;MishaR;jl67swad
TR Luks Casino Monkey;78.180.204.178;Bodya;ejd1bmsb
KLO 2 TEST;173.252.127.11;Misha;8karablt
KLO 2 TEST;173.252.127.38;Misha;8karablt
KLO 2 TEST;149.140.35.121;Liubomyr;n7hndsh4
TR Luks Casino Monkey;46.197.125.179;Liubomyr;qs4gjzv4
